,WARD_PRECI,CVAP
0,0113,1620.0
1,0102,1286.0
2,0105,1169.0
3,0203,1098.0
4,0205,1240.0
5,0204,1371.0
6,0206,1108.0
7,0303,2522.0
8,0304,1781.0
9,0307,3235.0
10,0402,3982.0
11,0401,1745.0
12,0403,1277.0
13,0405,1847.0
14,0406,1967.0
15,0404,1962.0
16,0408,5345.0
17,0409,4307.0
18,0504,1776.0
19,0503,2276.0
20,0501,5158.0
21,0902,2194.0
22,0901,2070.0
23,0502,2640.0
24,0603,1334.0
25,0605,1898.0
26,0606,1637.0
27,0602,1738.0
28,0608,1367.0
29,0702,1769.0
30,0706,1038.0
31,0805,1300.0
32,0803,1801.0
33,1201,2041.0
34,0905,3193.0
35,1002,1684.0
36,1001,877.0
37,0904,3000.0
38,0903,3504.0
39,0804,931.0
40,0806,1422.0
41,0709,1103.0
42,0710,1775.0
43,0807,650.0
44,1006,1734.0
45,1003,1669.0
46,1101,1418.0
47,1007,1762.0
48,1209,1341.0
49,1103,1305.0
50,1105,1338.0
51,1106,1443.0
52,1107,1864.0
53,1104,2269.0
54,1206,1087.0
55,1204,1161.0
56,1205,730.0
57,1301,1429.0
58,1306,1352.0
59,1308,1462.0
60,1304,1455.0
61,1302,648.0
62,1307,1022.0
63,1309,1587.0
64,1305,1277.0
65,1401,2699.0
66,1406,1094.0
67,1404,1716.0
68,1403,1249.0
69,1503,693.0
70,1501,1784.0
71,1502,891.0
72,1504,1930.0
73,1505,1326.0
74,1507,810.0
75,1508,1083.0
76,1506,915.0
77,1509,1246.0
78,1009,1818.0
79,1908,828.0
80,1906,1941.0
81,1901,1336.0
82,2104,1177.0
83,2105,1881.0
84,2107,1551.0
85,2108,2059.0
86,2106,1566.0
87,2110,1404.0
88,2115,861.0
89,2202,2187.0
90,2203,2444.0
91,2207,1760.0
92,2213,1182.0
93,2204,1342.0
94,2210,1904.0
95,1108,2388.0
96,0705,2587.0
97,2209,1185.0
98,2111,2094.0
99,2113,2639.0
100,2206,1078.0
101,2109,2959.0
102,2101,3059.0
103,1005,2274.0
104,0704,1635.0
105,0708,2012.0
106,1203,923.0
107,1202,2217.0
108,1102,1760.0
109,1904,1757.0
110,1905,1300.0
111,1903,1461.0
112,1402,2850.0
113,1407,1360.0
114,1409,1300.0
115,1413,1147.0
116,1412,765.0
117,1410,2165.0
118,1405,1064.0
119,1414,1504.0
120,1601,1145.0
121,1701,1408.0
122,1702,1003.0
123,1607,2035.0
124,1605,1390.0
125,1603,1181.0
126,1609,896.0
127,1706,1169.0
128,1709,1157.0
129,1711,632.0
130,1604,1093.0
131,1606,1556.0
132,1608,841.0
133,1611,1963.0
134,1705,996.0
135,1708,1608.0
136,1707,1100.0
137,1710,1770.0
138,1712,955.0
139,1704,2487.0
140,1802,1706.0
141,1821,1998.0
142,1807,2229.0
143,1808,3475.0
144,1809,1844.0
145,1810,2299.0
146,1811,1597.0
147,1813,1060.0
148,1814,1131.0
149,1822,2208.0
150,1805,1395.0
151,1806,1577.0
152,1815,1736.0
153,1819,2922.0
154,1911,1288.0
155,1913,1294.0
156,1912,969.0
157,2004,1535.0
158,2009,1738.0
159,2007,1215.0
160,2019,730.0
161,2006,1941.0
162,2020,1380.0
163,2013,693.0
164,2016,1403.0
165,2010,1825.0
166,2005,2714.0
167,1703,1977.0
168,1110,1042.0
169,1109,955.0
170,1902,1949.0
171,2017,3681.0
172,2015,1629.0
173,1910,2173.0
174,1801,2882.0
175,1714,1241.0
176,1804,1901.0
177,2012,1246.0
178,2014,1023.0
179,1820,2466.0
180,2018,1024.0
181,2001,1646.0
182,1207,3036.0
183,1411,1504.0
184,1907,3057.0
185,1803,1902.0
186,1408,1166.0
187,1909,878.0
188,1208,972.0
189,0207,1756.0
190,0202,2514.0
191,0306,6194.0
192,0302,1864.0
193,2103,1725.0
194,2114,964.0
195,2201,6618.0
196,2205,1631.0
197,2212,2052.0
198,2211,2046.0
199,2208,2427.0
200,2116,4774.0
201,2112,1871.0
202,0510,4508.0
203,2102,3272.0
204,1310,1784.0
205,1303,1413.0
206,1610,1107.0
207,1713,1968.0
208,1612,1789.0
209,1602,2887.0
210,0604,1986.0
211,0607,2086.0
212,0701,1845.0
213,0609,1907.0
214,0707,1529.0
215,0703,2670.0
216,0308,6384.0
217,0801,2533.0
218,0601,4928.0
219,0305,3779.0
220,0201,2921.0
221,0108,1236.0
222,0103,1908.0
223,0106,1431.0
224,0109,590.0
225,0107,1489.0
226,0101,889.0
227,0114,868.0
228,0112,1469.0
229,0511,1748.0
230,0505,945.0
231,0110,938.0
232,0111,1148.0
233,1004,1258.0
234,0802,3449.0
235,2011,728.0
236,2008,1295.0
237,0410,5757.0
238,0407,2233.0
239,1008,2213.0
240,0301,1475.0
241,0507,2163.0
242,0508,2268.0
243,0506,2196.0
244,0509,3535.0
245,1812,1845.0
246,1823,1080.0
247,2003,2626.0
248,1816,2473.0
249,1817,1760.0
250,1818,2404.0
251,0502A,1114.0
252,0115,88.0
253,0104,1015.0
254,2002,1911.0
