,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,590,0.371,0.007,0.032,0.056,0.01,0.025,0.122,0.036,0.015,0.01,0.0,0.637,0.0,0.066,0.088,0.029,0.09,0.142,0.041,0.073,0.002,0.01
1,Jamaica Plain,2336,0.434,0.012,0.038,0.046,0.084,0.102,0.044,0.031,0.008,0.006,0.011,0.565,0.025,0.047,0.104,0.114,0.097,0.045,0.038,0.018,0.01,0.018
2,Mission Hill,2096,0.495,0.02,0.16,0.102,0.039,0.063,0.026,0.027,0.009,0.019,0.008,0.504,0.042,0.168,0.06,0.045,0.016,0.028,0.042,0.028,0.017,0.013
3,Longwood,972,0.359,0.029,0.12,0.048,0.025,0.044,0.036,0.036,0.005,0.005,0.007,0.639,0.163,0.151,0.051,0.033,0.015,0.051,0.039,0.021,0.026,0.015
4,Bay Village,452,0.451,0.009,0.024,0.04,0.015,0.027,0.084,0.073,0.035,0.015,0.04,0.551,0.013,0.024,0.046,0.02,0.066,0.095,0.084,0.044,0.027,0.055
5,Leather District,262,0.462,0.011,0.042,0.046,0.023,0.031,0.065,0.076,0.038,0.027,0.019,0.538,0.019,0.034,0.061,0.027,0.05,0.069,0.099,0.046,0.034,0.046
6,Chinatown,1280,0.462,0.01,0.041,0.046,0.023,0.03,0.066,0.078,0.036,0.027,0.022,0.54,0.019,0.032,0.061,0.026,0.051,0.072,0.098,0.045,0.035,0.047
7,North End,255,0.463,0.004,0.047,0.208,0.082,0.043,0.039,0.016,0.004,0.0,0.0,0.545,0.008,0.106,0.078,0.114,0.118,0.02,0.035,0.0,0.0,0.0
8,Roxbury,1922,0.507,0.057,0.148,0.075,0.042,0.04,0.041,0.031,0.003,0.011,0.002,0.496,0.123,0.118,0.057,0.052,0.04,0.014,0.024,0.011,0.005,0.002
9,South End,4065,0.466,0.01,0.046,0.05,0.035,0.044,0.065,0.049,0.031,0.04,0.046,0.533,0.011,0.031,0.08,0.058,0.075,0.067,0.052,0.046,0.024,0.027
10,Back Bay,2260,0.424,0.037,0.103,0.097,0.038,0.047,0.027,0.024,0.021,0.01,0.006,0.573,0.041,0.065,0.115,0.132,0.049,0.036,0.025,0.034,0.047,0.005
11,East Boston,1014,0.498,0.0,0.001,0.037,0.032,0.064,0.097,0.053,0.052,0.022,0.001,0.503,0.006,0.007,0.041,0.04,0.149,0.057,0.024,0.023,0.04,0.012
12,Charlestown,1187,0.5,0.009,0.025,0.025,0.051,0.107,0.045,0.078,0.015,0.01,0.0,0.505,0.003,0.028,0.042,0.054,0.116,0.065,0.053,0.016,0.029,0.0
13,West End,992,0.463,0.007,0.047,0.109,0.071,0.109,0.009,0.004,0.006,0.073,0.002,0.536,0.002,0.018,0.099,0.086,0.113,0.053,0.031,0.013,0.067,0.01
14,Beacon Hill,512,0.438,0.004,0.143,0.061,0.096,0.035,0.004,0.053,0.002,0.025,0.002,0.561,0.004,0.025,0.221,0.146,0.041,0.037,0.043,0.023,0.002,0.002
15,Downtown,3108,0.457,0.01,0.052,0.047,0.031,0.032,0.061,0.065,0.032,0.028,0.022,0.544,0.019,0.034,0.072,0.039,0.069,0.064,0.085,0.042,0.03,0.04
16,Fenway,5550,0.45,0.102,0.142,0.073,0.058,0.014,0.017,0.014,0.005,0.007,0.003,0.55,0.15,0.183,0.101,0.031,0.02,0.012,0.003,0.011,0.025,0.0
17,Brighton,6431,0.423,0.019,0.051,0.057,0.054,0.063,0.038,0.033,0.036,0.021,0.003,0.577,0.017,0.14,0.072,0.041,0.075,0.046,0.048,0.039,0.018,0.007
18,West Roxbury,2282,0.453,0.0,0.014,0.032,0.022,0.086,0.117,0.031,0.015,0.013,0.0,0.545,0.002,0.007,0.014,0.041,0.112,0.122,0.082,0.023,0.014,0.008
19,Hyde Park,724,0.463,0.008,0.041,0.058,0.007,0.08,0.043,0.091,0.018,0.014,0.0,0.535,0.003,0.035,0.064,0.09,0.076,0.097,0.028,0.018,0.039,0.0
20,Mattapan,583,0.557,0.033,0.002,0.077,0.048,0.117,0.065,0.06,0.021,0.0,0.014,0.446,0.002,0.01,0.034,0.086,0.118,0.048,0.019,0.007,0.002,0.0
21,Dorchester,12351,0.482,0.005,0.033,0.045,0.046,0.105,0.05,0.053,0.038,0.002,0.001,0.517,0.007,0.036,0.064,0.061,0.074,0.073,0.064,0.032,0.008,0.002
22,South Boston Waterfront,345,0.513,0.046,0.023,0.064,0.07,0.084,0.067,0.032,0.072,0.0,0.0,0.487,0.032,0.078,0.064,0.061,0.084,0.084,0.052,0.0,0.012,0.0
23,South Boston,2003,0.446,0.014,0.065,0.053,0.033,0.064,0.086,0.044,0.028,0.007,0.005,0.553,0.006,0.062,0.077,0.052,0.09,0.072,0.055,0.016,0.043,0.006
24,Allston,4527,0.476,0.051,0.116,0.124,0.039,0.019,0.04,0.019,0.009,0.009,0.0,0.525,0.063,0.139,0.135,0.053,0.032,0.032,0.019,0.013,0.002,0.0
25,Harbor Islands,0,,,,,,,,,,,,,,,,,,,,,,
